,index,x,y,z,SegmentationRegionSlice
363,520,-239.53125,-239.53125,-967.0,Outside of AOI
364,450,-239.53125,-239.53125,-965.5,Outside of AOI
365,436,-239.53125,-239.53125,-964.0,Outside of AOI
366,641,-239.53125,-239.53125,-962.5,Outside of AOI
367,634,-239.53125,-239.53125,-961.0,Outside of AOI
368,505,-239.53125,-239.53125,-959.5,Outside of AOI
369,521,-239.53125,-239.53125,-958.0,Outside of AOI
370,449,-239.53125,-239.53125,-956.5,Outside of AOI
371,439,-239.53125,-239.53125,-955.0,Outside of AOI
372,313,-239.53125,-239.53125,-953.5,Outside of AOI
373,295,-239.53125,-239.53125,-952.0,Outside of AOI
374,368,-239.53125,-239.53125,-950.5,Outside of AOI
375,380,-239.53125,-239.53125,-949.0,Outside of AOI
376,979,-239.53125,-239.53125,-947.5,Outside of AOI
377,994,-239.53125,-239.53125,-946.0,Outside of AOI
378,108,-239.53125,-239.53125,-944.5,Outside of AOI
379,90,-239.53125,-239.53125,-943.0,Outside of AOI
380,27,-239.53125,-239.53125,-941.5,Outside of AOI
381,39,-239.53125,-239.53125,-940.0,Outside of AOI
382,160,-239.53125,-239.53125,-938.5,Outside of AOI
383,176,-239.53125,-239.53125,-937.0,Outside of AOI
384,239,-239.53125,-239.53125,-935.5,Outside of AOI
385,229,-239.53125,-239.53125,-934.0,Outside of AOI
386,815,-239.53125,-239.53125,-932.5,Outside of AOI
387,808,-239.53125,-239.53125,-931.0,Outside of AOI
388,161,-239.53125,-239.53125,-929.5,Outside of AOI
389,173,-239.53125,-239.53125,-928.0,Outside of AOI
390,242,-239.53125,-239.53125,-926.5,Outside of AOI
391,228,-239.53125,-239.53125,-925.0,Outside of AOI
392,107,-239.53125,-239.53125,-923.5,Outside of AOI
393,93,-239.53125,-239.53125,-922.0,Outside of AOI
394,24,-239.53125,-239.53125,-920.5,Outside of AOI
395,40,-239.53125,-239.53125,-919.0,Outside of AOI
396,243,-239.53125,-239.53125,-917.5,Outside of AOI
397,226,-239.53125,-239.53125,-916.0,Outside of AOI
398,862,-239.53125,-239.53125,-914.5,Outside of AOI
399,876,-239.53125,-239.53125,-913.0,Outside of AOI
400,817,-239.53125,-239.53125,-911.5,Outside of AOI
401,807,-239.53125,-239.53125,-910.0,Outside of AOI
402,935,-239.53125,-239.53125,-908.5,Outside of AOI
403,923,-239.53125,-239.53125,-907.0,Outside of AOI
404,982,-239.53125,-239.53125,-905.5,Outside of AOI
405,990,-239.53125,-239.53125,-904.0,Outside of AOI
406,28,-239.53125,-239.53125,-902.5,Outside of AOI
407,37,-239.53125,-239.53125,-901.0,Outside of AOI
408,932,-239.53125,-239.53125,-899.5,Outside of AOI
409,924,-239.53125,-239.53125,-898.0,Outside of AOI
410,981,-239.53125,-239.53125,-896.5,Outside of AOI
411,993,-239.53125,-239.53125,-895.0,Outside of AOI
412,865,-239.53125,-239.53125,-893.5,Outside of AOI
413,875,-239.53125,-239.53125,-892.0,Outside of AOI
414,818,-239.53125,-239.53125,-890.5,Outside of AOI
415,804,-239.53125,-239.53125,-889.0,Outside of AOI
416,1000,-239.53125,-239.53125,-887.5,Outside of AOI
417,973,-239.53125,-239.53125,-886.0,Outside of AOI
418,82,-239.53125,-239.53125,-884.5,Outside of AOI
419,117,-239.53125,-239.53125,-883.0,Outside of AOI
420,50,-239.53125,-239.53125,-881.5,Outside of AOI
421,15,-239.53125,-239.53125,-880.0,Outside of AOI
422,185,-239.53125,-239.53125,-878.5,Outside of AOI
423,150,-239.53125,-239.53125,-877.0,Outside of AOI
424,217,-239.53125,-239.53125,-875.5,Outside of AOI
425,252,-239.53125,-239.53125,-874.0,Outside of AOI
426,798,-239.53125,-239.53125,-872.5,Outside of AOI
427,825,-239.53125,-239.53125,-871.0,Outside of AOI
428,186,-239.53125,-239.53125,-869.5,Outside of AOI
429,149,-239.53125,-239.53125,-868.0,Outside of AOI
430,218,-239.53125,-239.53125,-866.5,Outside of AOI
431,251,-239.53125,-239.53125,-865.0,Outside of AOI
432,81,-239.53125,-239.53125,-863.5,Outside of AOI
433,118,-239.53125,-239.53125,-862.0,Outside of AOI
434,49,-239.53125,-239.53125,-860.5,Outside of AOI
435,16,-239.53125,-239.53125,-859.0,Outside of AOI
436,144,-239.53125,-239.53125,-857.5,Outside of AOI
437,191,-239.53125,-239.53125,-856.0,Outside of AOI
438,830,-239.53125,-239.53125,-854.5,Outside of AOI
439,794,-239.53125,-239.53125,-853.0,Outside of AOI
440,853,-239.53125,-239.53125,-851.5,Outside of AOI
441,885,-239.53125,-239.53125,-850.0,Outside of AOI
442,969,-239.53125,-239.53125,-848.5,Outside of AOI
443,1003,-239.53125,-239.53125,-847.0,Outside of AOI
444,944,-239.53125,-239.53125,-845.5,Outside of AOI
445,914,-239.53125,-239.53125,-844.0,Outside of AOI
446,119,-239.53125,-239.53125,-842.0,Outside of AOI
447,80,-239.53125,-239.53125,-840.5,Outside of AOI
448,972,-239.53125,-239.53125,-839.0,Outside of AOI
449,1002,-239.53125,-239.53125,-837.5,Outside of AOI
450,945,-239.53125,-239.53125,-836.0,Outside of AOI
451,911,-239.53125,-239.53125,-834.5,Outside of AOI
452,827,-239.53125,-239.53125,-833.0,Outside of AOI
453,795,-239.53125,-239.53125,-831.5,Outside of AOI
454,852,-239.53125,-239.53125,-830.0,Outside of AOI
455,888,-239.53125,-239.53125,-828.5,Outside of AOI
456,947,-239.53125,-239.53125,-827.0,Outside of AOI
457,910,-239.53125,-239.53125,-825.5,Outside of AOI
458,11,-239.53125,-239.53125,-824.0,Outside of AOI
459,55,-239.53125,-239.53125,-822.5,Outside of AOI
460,120,-239.53125,-239.53125,-821.0,Outside of AOI
461,78,-239.53125,-239.53125,-819.5,Outside of AOI
462,255,-239.53125,-239.53125,-818.0,Outside of AOI
463,213,-239.53125,-239.53125,-816.5,Outside of AOI
464,148,-239.53125,-239.53125,-815.0,Outside of AOI
465,188,-239.53125,-239.53125,-813.5,Outside of AOI
466,855,-239.53125,-239.53125,-812.0,Outside of AOI
467,884,-239.53125,-239.53125,-810.5,Outside of AOI
468,254,-239.53125,-239.53125,-809.0,Outside of AOI
469,216,-239.53125,-239.53125,-807.5,Outside of AOI
470,145,-239.53125,-239.53125,-806.0,Outside of AOI
471,189,-239.53125,-239.53125,-804.5,Outside of AOI
472,12,-239.53125,-239.53125,-803.0,Outside of AOI
473,52,-239.53125,-239.53125,-801.5,Outside of AOI
474,123,-239.53125,-239.53125,-800.0,Outside of AOI
475,77,-239.53125,-239.53125,-798.5,Outside of AOI
476,775,-239.53125,-239.53125,-797.0,Outside of AOI
477,730,-239.53125,-239.53125,-795.5,Outside of AOI
478,352,-239.53125,-239.53125,-794.0,Outside of AOI
479,398,-239.53125,-239.53125,-792.5,Outside of AOI
480,328,-239.53125,-239.53125,-791.0,Outside of AOI
481,278,-239.53125,-239.53125,-789.5,Outside of AOI
482,464,-239.53125,-239.53125,-788.0,Outside of AOI
483,422,-239.53125,-239.53125,-786.5,Outside of AOI
484,490,-239.53125,-239.53125,-785.0,Outside of AOI
485,538,-239.53125,-239.53125,-783.5,Outside of AOI
486,562,-239.53125,-239.53125,-782.0,Outside of AOI
487,597,-239.53125,-239.53125,-780.5,Outside of AOI
488,467,-239.53125,-239.53125,-779.0,Outside of AOI
489,421,-239.53125,-239.53125,-777.5,Outside of AOI
490,491,-239.53125,-239.53125,-776.0,Outside of AOI
491,535,-239.53125,-239.53125,-774.5,Outside of AOI
492,349,-239.53125,-239.53125,-773.0,Outside of AOI
493,399,-239.53125,-239.53125,-771.5,Outside of AOI
494,327,-239.53125,-239.53125,-770.0,Outside of AOI
495,281,-239.53125,-239.53125,-768.5,Outside of AOI
496,488,-239.53125,-239.53125,-767.0,Outside of AOI
497,539,-239.53125,-239.53125,-765.5,Outside of AOI
498,655,-239.53125,-239.53125,-764.0,Outside of AOI
499,621,-239.53125,-239.53125,-762.5,Outside of AOI
500,558,-239.53125,-239.53125,-761.0,Outside of AOI
501,600,-239.53125,-239.53125,-759.5,Outside of AOI
502,677,-239.53125,-239.53125,-758.0,Outside of AOI
503,709,-239.53125,-239.53125,-756.5,Outside of AOI
504,774,-239.53125,-239.53125,-755.0,Outside of AOI
505,732,-239.53125,-239.53125,-753.5,Outside of AOI
506,325,-239.53125,-239.53125,-752.0,Outside of AOI
507,282,-239.53125,-239.53125,-750.5,Outside of AOI
508,676,-239.53125,-239.53125,-749.0,Outside of AOI
509,712,-239.53125,-239.53125,-747.5,Outside of AOI
510,771,-239.53125,-239.53125,-746.0,Outside of AOI
511,733,-239.53125,-239.53125,-744.5,Outside of AOI
512,656,-239.53125,-239.53125,-743.0,Outside of AOI
513,618,-239.53125,-239.53125,-741.5,Outside of AOI
514,561,-239.53125,-239.53125,-740.0,Outside of AOI
515,599,-239.53125,-239.53125,-738.5,Outside of AOI
516,703,-239.53125,-239.53125,-737.0,Outside of AOI
517,684,-239.53125,-239.53125,-735.5,Outside of AOI
518,293,-239.53125,-239.53125,-734.0,Outside of AOI
519,314,-239.53125,-239.53125,-732.5,Outside of AOI
520,386,-239.53125,-239.53125,-731.0,Outside of AOI
521,363,-239.53125,-239.53125,-729.5,Outside of AOI
522,524,-239.53125,-239.53125,-728.0,Outside of AOI
523,503,-239.53125,-239.53125,-726.5,Outside of AOI
524,432,-239.53125,-239.53125,-725.0,Outside of AOI
525,455,-239.53125,-239.53125,-723.5,Outside of AOI
526,628,-239.53125,-239.53125,-722.0,Outside of AOI
527,647,-239.53125,-239.53125,-720.5,Outside of AOI
528,525,-239.53125,-239.53125,-719.0,Outside of AOI
529,502,-239.53125,-239.53125,-717.5,Outside of AOI
530,433,-239.53125,-239.53125,-716.0,Outside of AOI
531,454,-239.53125,-239.53125,-714.5,Outside of AOI
532,292,-239.53125,-239.53125,-713.0,Outside of AOI
533,315,-239.53125,-239.53125,-711.5,Outside of AOI
534,385,-239.53125,-239.53125,-710.0,Outside of AOI
535,364,-239.53125,-239.53125,-708.5,Outside of AOI
536,496,-239.53125,-239.53125,-707.0,Outside of AOI
537,532,-239.53125,-239.53125,-705.5,Outside of AOI
538,651,-239.53125,-239.53125,-704.0,Outside of AOI
539,623,-239.53125,-239.53125,-702.5,Outside of AOI
540,567,-239.53125,-239.53125,-701.0,Outside of AOI
541,593,-239.53125,-239.53125,-699.5,Outside of AOI
542,681,-239.53125,-239.53125,-698.0,Outside of AOI
543,707,-239.53125,-239.53125,-696.5,Outside of AOI
544,764,-239.53125,-239.53125,-695.0,Outside of AOI
545,739,-239.53125,-239.53125,-693.5,Outside of AOI
546,317,-239.53125,-239.53125,-692.0,Outside of AOI
547,291,-239.53125,-239.53125,-690.5,Outside of AOI
548,682,-239.53125,-239.53125,-689.0,Outside of AOI
549,704,-239.53125,-239.53125,-687.5,Outside of AOI
550,768,-239.53125,-239.53125,-686.0,Outside of AOI
551,738,-239.53125,-239.53125,-684.5,Outside of AOI
552,650,-239.53125,-239.53125,-683.0,Outside of AOI
553,626,-239.53125,-239.53125,-681.5,Outside of AOI
554,564,-239.53125,-239.53125,-680.0,Outside of AOI
555,594,-239.53125,-239.53125,-678.5,Outside of AOI
556,769,-239.53125,-239.53125,-677.0,Outside of AOI
557,736,-239.53125,-239.53125,-675.5,Outside of AOI
558,356,-239.53125,-239.53125,-674.0,Outside of AOI
559,392,-239.53125,-239.53125,-672.5,Outside of AOI
560,320,-239.53125,-239.53125,-671.0,Outside of AOI
561,288,-239.53125,-239.53125,-669.5,Outside of AOI
562,459,-239.53125,-239.53125,-668.0,Outside of AOI
563,429,-239.53125,-239.53125,-666.5,Outside of AOI
564,500,-239.53125,-239.53125,-665.0,Outside of AOI
565,526,-239.53125,-239.53125,-663.5,Outside of AOI
566,568,-239.53125,-239.53125,-662.0,Outside of AOI
567,591,-239.53125,-239.53125,-660.5,Outside of AOI
568,456,-239.53125,-239.53125,-659.0,Outside of AOI
569,430,-239.53125,-239.53125,-657.5,Outside of AOI
570,499,-239.53125,-239.53125,-656.0,Outside of AOI
571,529,-239.53125,-239.53125,-654.5,Outside of AOI
572,359,-239.53125,-239.53125,-653.0,Outside of AOI
573,391,-239.53125,-239.53125,-651.5,Outside of AOI
574,321,-239.53125,-239.53125,-650.0,Outside of AOI
575,285,-239.53125,-239.53125,-648.5,Outside of AOI
576,942,-239.53125,-239.53125,-647.0,Outside of AOI
577,915,-239.53125,-239.53125,-645.5,Outside of AOI
578,19,-239.53125,-239.53125,-644.0,Outside of AOI
579,45,-239.53125,-239.53125,-642.5,Outside of AOI
580,116,-239.53125,-239.53125,-641.0,Outside of AOI
581,84,-239.53125,-239.53125,-639.5,Outside of AOI
582,247,-239.53125,-239.53125,-638.0,Outside of AOI
583,223,-239.53125,-239.53125,-636.5,Outside of AOI
584,152,-239.53125,-239.53125,-635.0,Outside of AOI
585,182,-239.53125,-239.53125,-633.5,Outside of AOI
586,860,-239.53125,-239.53125,-632.0,Outside of AOI
587,879,-239.53125,-239.53125,-630.5,Outside of AOI
588,248,-239.53125,-239.53125,-629.0,Outside of AOI
589,220,-239.53125,-239.53125,-627.0,Outside of AOI
590,155,-239.53125,-239.53125,-625.5,Outside of AOI
591,181,-239.53125,-239.53125,-624.0,Outside of AOI
592,18,-239.53125,-239.53125,-622.5,Outside of AOI
593,48,-239.53125,-239.53125,-621.0,Outside of AOI
594,113,-239.53125,-239.53125,-619.5,Outside of AOI
595,85,-239.53125,-239.53125,-618.0,Outside of AOI
596,151,-239.53125,-239.53125,-616.5,Outside of AOI
597,184,-239.53125,-239.53125,-615.0,Outside of AOI
598,821,-239.53125,-239.53125,-613.5,Outside of AOI
599,801,-239.53125,-239.53125,-612.0,Outside of AOI
600,857,-239.53125,-239.53125,-610.5,Outside of AOI
601,883,-239.53125,-239.53125,-609.0,Outside of AOI
602,978,-239.53125,-239.53125,-607.5,Outside of AOI
603,996,-239.53125,-239.53125,-606.0,Outside of AOI
604,940,-239.53125,-239.53125,-604.5,Outside of AOI
605,916,-239.53125,-239.53125,-603.0,Outside of AOI
606,112,-239.53125,-239.53125,-601.5,Outside of AOI
607,87,-239.53125,-239.53125,-600.0,Outside of AOI
608,975,-239.53125,-239.53125,-598.5,Outside of AOI
609,997,-239.53125,-239.53125,-597.0,Outside of AOI
610,939,-239.53125,-239.53125,-595.5,Outside of AOI
611,919,-239.53125,-239.53125,-594.0,Outside of AOI
612,824,-239.53125,-239.53125,-592.5,Outside of AOI
613,800,-239.53125,-239.53125,-591.0,Outside of AOI
614,858,-239.53125,-239.53125,-589.5,Outside of AOI
615,880,-239.53125,-239.53125,-588.0,Outside of AOI
616,878,-239.53125,-239.53125,-586.5,Outside of AOI
617,861,-239.53125,-239.53125,-585.0,Outside of AOI
618,225,-239.53125,-239.53125,-583.5,Outside of AOI
619,244,-239.53125,-239.53125,-582.0,Outside of AOI
620,179,-239.53125,-239.53125,-580.5,Outside of AOI
621,156,-239.53125,-239.53125,-579.0,Outside of AOI
622,42,-239.53125,-239.53125,-577.5,Outside of AOI
623,23,-239.53125,-239.53125,-576.0,Outside of AOI
624,88,-239.53125,-239.53125,-574.5,Outside of AOI
625,111,-239.53125,-239.53125,-573.0,Outside of AOI
626,920,-239.53125,-239.53125,-571.5,Outside of AOI
627,937,-239.53125,-239.53125,-570.0,Outside of AOI
628,43,-239.53125,-239.53125,-568.5,Outside of AOI
629,22,-239.53125,-239.53125,-567.0,Outside of AOI
630,89,-239.53125,-239.53125,-565.5,Outside of AOI
631,110,-239.53125,-239.53125,-564.0,Outside of AOI
632,224,-239.53125,-239.53125,-562.5,Outside of AOI
633,245,-239.53125,-239.53125,-561.0,Outside of AOI
634,178,-239.53125,-239.53125,-559.5,Outside of AOI
635,157,-239.53125,-239.53125,-558.0,Outside of AOI
636,21,-239.53125,-239.53125,-556.5,Outside of AOI
637,44,-239.53125,-239.53125,-555.0,Outside of AOI
638,941,-239.53125,-239.53125,-553.5,Outside of AOI
639,917,-239.53125,-239.53125,-552.0,Outside of AOI
640,977,-239.53125,-239.53125,-550.5,Outside of AOI
641,995,-239.53125,-239.53125,-549.0,Outside of AOI
642,856,-239.53125,-239.53125,-547.5,Outside of AOI
643,882,-239.53125,-239.53125,-546.0,Outside of AOI
644,822,-239.53125,-239.53125,-544.5,Outside of AOI
645,802,-239.53125,-239.53125,-543.0,Outside of AOI
646,250,-239.53125,-239.53125,-541.5,Outside of AOI
647,219,-239.53125,-239.53125,-540.0,Outside of AOI
648,859,-239.53125,-239.53125,-538.5,Outside of AOI
649,881,-239.53125,-239.53125,-537.0,Outside of AOI
650,823,-239.53125,-239.53125,-535.5,Outside of AOI
651,799,-239.53125,-239.53125,-534.0,Outside of AOI
652,938,-239.53125,-239.53125,-532.5,Outside of AOI
653,918,-239.53125,-239.53125,-531.0,Outside of AOI
654,976,-239.53125,-239.53125,-529.5,Outside of AOI
655,998,-239.53125,-239.53125,-528.0,Outside of AOI
656,820,-239.53125,-239.53125,-526.5,Outside of AOI
657,803,-239.53125,-239.53125,-525.0,Outside of AOI
658,153,-239.53125,-239.53125,-523.5,Outside of AOI
659,183,-239.53125,-239.53125,-522.0,Outside of AOI
660,246,-239.53125,-239.53125,-520.5,Outside of AOI
661,222,-239.53125,-239.53125,-519.0,Outside of AOI
662,115,-239.53125,-239.53125,-517.5,Outside of AOI
663,83,-239.53125,-239.53125,-516.0,Outside of AOI
664,20,-239.53125,-239.53125,-514.5,Outside of AOI
665,46,-239.53125,-239.53125,-513.0,Outside of AOI
666,974,-239.53125,-239.53125,-511.5,Outside of AOI
667,999,-239.53125,-239.53125,-510.0,Outside of AOI
668,114,-239.53125,-239.53125,-508.5,Outside of AOI
669,86,-239.53125,-239.53125,-507.0,Outside of AOI
670,17,-239.53125,-239.53125,-505.5,Outside of AOI
671,47,-239.53125,-239.53125,-504.0,Outside of AOI
672,154,-239.53125,-239.53125,-502.5,Outside of AOI
673,180,-239.53125,-239.53125,-501.0,Outside of AOI
674,249,-239.53125,-239.53125,-499.5,Outside of AOI
675,221,-239.53125,-239.53125,-498.0,Outside of AOI
676,648,-239.53125,-239.53125,-496.5,Outside of AOI
677,627,-239.53125,-239.53125,-495.0,Outside of AOI
678,501,-239.53125,-239.53125,-493.5,Outside of AOI
679,527,-239.53125,-239.53125,-492.0,Outside of AOI
680,458,-239.53125,-239.53125,-490.5,Outside of AOI
681,428,-239.53125,-239.53125,-489.0,Outside of AOI
682,319,-239.53125,-239.53125,-487.5,Outside of AOI
683,287,-239.53125,-239.53125,-486.0,Outside of AOI
684,357,-239.53125,-239.53125,-484.5,Outside of AOI
685,393,-239.53125,-239.53125,-483.0,Outside of AOI
686,679,-239.53125,-239.53125,-481.5,Outside of AOI
687,708,-239.53125,-239.53125,-480.0,Outside of AOI
